commodity,brand,specification,jan,feb,mar,apr,may,jun,jul,aug,sept,oct,nov,dec
Coffee 3-in-1,Kopiko,30g,8.5,,8,8,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5
Coffee 3-in-1,Kopiko,30g,9.15,,10.25,10.25,9.25,10.25,10.25,9.25,10.25,9,10.25,10.25
Coffee 3-in-1,Kopiko,25g,8.7,,9.25,9.25,8.5,8.5,8.5,8.5,8.5,8.5,8.5,9.25
Coffee 3-in-1,Blend 45,20g,,,6,,10.3,5.85,6,6.25,5.75,5.85,5.75,6
Coffee 3-in-1,Blend 45,52g,,,12.5,13,12.75,12.75,12.75,12.75,12.75,12.75,12.75,12.75
Coffee 3-in-1,Nescafe,20g,,,,,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.75
Coffee 3-in-1,Nescafe,26g,7.75,,7.75,7.75,7.75,7.75,7.75,7.75,,,,
Coffee 3-in-1,San Mig,20g,7,,6.5,6.5,6.5,6.5,6.5,6.5,7,6.5,6.5,6.5
Instant Noodles,Ho-Mi,55g,8.5,,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5
Instant Noodles,Ho-Mi,55g,8.4,,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5
Instant Noodles,Lucky Me!,55g,8.75,,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75
Instant Noodles,Lucky Me!,55g,8.75,,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75
Instant Noodles,Lucky Me!,100g,16.5,,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5
Instant Noodles,Lucky Me!,100g,16.5,,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5
Instant Noodles,Nissin,55g,10.65,,10.65,11,10.65,10.65,10.65,10.65,10.65,10.65,10.65,10.65
Instant Noodles,Nissin,55g,10.65,,10.65,11,10.65,10.65,10.65,10.65,10.65,10.65,10.65,10.65
Instant Noodles,Nissin,63g,,,14.75,,,,,,,,,
Instant Noodles,Nissin,63g,13.5,,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5
Instant Noodles,Payless,55g,7,,7,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
Instant Noodles,Payless,55g,7,,7,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
Instant Noodles,Quick Chow,55g,7.25,,7.25,7.25,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.75
Instant Noodles,Quick Chow,55g,7.25,,7.25,7.25,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.75
Laundry Soap,Ariel,125g,15,,15,15,15,15,15,15,15,15,15.5,15.5
Laundry Soap,Bareta,330g,19.75,,,,19.75,,,,,,,
Laundry Soap,Bareta,330g,21.25,,,,21.25,,,,,,,
Laundry Soap,Bareta,330g,19.75,,,,19.75,,,,,,,
Laundry Soap,Bareta,330g,19.75,,,,19.75,,,,,,,
Laundry Soap,Bareta,330g,19.75,,,,19.75,,,,,,,
Laundry Soap,Bonux,380g,21,,,,21,,,,,,,
Laundry Soap,Budget,330g,21,,18.5,19.75,18.5,18.5,18.5,18.5,18.5,18.5,18.5,19.5
Laundry Soap,Budget,360g,,,,21.25,,,,,,,,
Laundry Soap,Budget,330g,21,,21,19.75,21,19,20,17.95,20,17.95,19,19.5
Laundry Soap,Budget,360g,,,,19.75,,,,,,,,
Laundry Soap,Budget,330g,21,,21,19.75,21,18.5,18.7,17.95,17.95,19.5,18.7,19.5
Laundry Soap,Budget,330g,21,,18.5,21,21,18.5,18.7,18.7,18.7,18.7,18.7,19.5
Laundry Soap,Budget,360g,,,,21,,,,,,,,
Laundry Soap,Budget,330g,21,,18.5,18.5,18.5,18.5,18.5,18.45,18.45,18.5,18.5,19.5
Laundry Soap,Calla,370g,24,,24,26.25,24,24,24,24,24,24,24,24
Laundry Soap,Calla,370g,24,,24,26.25,24,24,24,24,24,24,24,24
Laundry Soap,Calla,370g,24,,24,24,24,24,24,24,24,24,24,24
Laundry Soap,Calla,370g,,,22.5,22.25,24.45,21.45,23.2,21.75,21.75,21.75,21.75,21.75
Laundry Soap,Champion,370g,23,,23,23,23,23,23,23,23,23,23,23
Laundry Soap,Champion,370g,23,,23,23,23,23,23,23,23,23,23,23
Laundry Soap,Champion,370g,26.5,,25,26,25,25,25,25,25,25,25,25
Laundry Soap,Champion,370g,25.45,,25,26.25,25,25,25,25,25,25,25,25
Laundry Soap,Champion,370g,22.5,,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5
Laundry Soap,Lablast,390g,,,,20.75,20.75,20.75,20.75,20.75,20.75,20.75,20.75,20.75
