quantile,variable,coef,std_err,p_value,ci_lower,ci_upper,commodity
0.1,brent_ret_lag2,1.2112443717746354e-06,2.8388799374718667e-07,2.896199157777012e-05,6.519036449643156e-07,1.7705850985849552e-06,salt_iodized_rock
0.1,brent_ret_lag3,2.953062077555635e-07,4.880441013615234e-07,0.5457191288804348,-6.662805742981568e-07,1.2568929898092837e-06,salt_iodized_rock
0.1,brent_ret_lag4,-6.368152142300731e-07,4.1281930969143553e-07,0.12429654861565595,-1.4501875928089766e-06,1.7655716434883027e-07,salt_iodized_rock
0.25,const,-5.960511015062067e-08,6.407660452365224e-09,1.0917744293327163e-17,-7.223003805712262e-08,-4.698018224411872e-08,salt_iodized_rock
0.25,brent_ret_lag0,1.449016328974482e-06,1.786746837953472e-07,2.974445137495243e-14,1.0969759831411386e-06,1.8010566748078252e-06,salt_iodized_rock
0.25,brent_ret_lag1,-3.8364189853915655e-08,1.5630629947935143e-07,0.806331837876731,-3.463324064797671e-07,2.6960402677193577e-07,salt_iodized_rock
0.25,brent_ret_lag2,3.105651491594612e-07,1.2363551018763445e-07,0.012690299027468842,6.696775282328211e-08,5.541625454956403e-07,salt_iodized_rock
0.25,brent_ret_lag3,6.05600959799613e-08,1.617620382651631e-07,0.7084667836778606,-2.5815748999210044e-07,3.7927768195202305e-07,salt_iodized_rock
0.25,brent_ret_lag4,-1.6387539153122907e-07,1.4103559668527772e-07,0.24645754861550448,-4.417559461640618e-07,1.1400516310160364e-07,salt_iodized_rock
0.5,const,-5.513010027691964e-10,3.0097317006589203e-09,0.8548231001570965,-6.481335220594597e-09,5.378733215056204e-09,salt_iodized_rock
0.5,brent_ret_lag0,7.484105071786716e-07,6.432039537801851e-08,6.231564980706577e-25,6.216808902456394e-07,8.751401241117039e-07,salt_iodized_rock
0.5,brent_ret_lag1,-1.8121668823817254e-07,6.506282553521073e-08,0.005792372393888129,-3.0940910540536895e-07,-5.302427107097611e-08,salt_iodized_rock
0.5,brent_ret_lag2,-3.021066266110449e-08,6.461721136170071e-08,0.6405595100153222,-1.5752509216704728e-07,9.710376684483832e-08,salt_iodized_rock
0.5,brent_ret_lag3,2.8118248224950497e-08,6.466165807311422e-08,0.6640758574395734,-9.92837540435393e-08,1.555202504934403e-07,salt_iodized_rock
0.5,brent_ret_lag4,5.4124460285008696e-08,6.423907239543486e-08,0.4003531450475103,-7.244492706034596e-08,1.8069384763036334e-07,salt_iodized_rock
0.75,const,5.1659142493568254e-08,5.977360387730795e-09,9.26649344664148e-16,3.9882029063903566e-08,6.343625592323294e-08,salt_iodized_rock
0.75,brent_ret_lag0,7.12900285295945e-07,1.6389002327257843e-07,2.044644200795531e-05,3.899899588526214e-07,1.0358106117392687e-06,salt_iodized_rock
0.75,brent_ret_lag1,-5.14053069009989e-07,1.4009316036573608e-07,0.00030194305457299905,-7.900767539352063e-07,-2.3802938408477176e-07,salt_iodized_rock
0.75,brent_ret_lag2,-3.311048421813332e-07,1.5474953825286646e-07,0.03343421337056415,-6.360057929309544e-07,-2.620389143171209e-08,salt_iodized_rock
0.75,brent_ret_lag3,7.708334970838405e-08,1.3340533146201008e-07,0.5639531034795542,-1.8576339514826356e-07,3.3993009456503167e-07,salt_iodized_rock
0.75,brent_ret_lag4,3.119899718912379e-07,1.507738497835332e-07,0.03963436727814187,1.4922267094204035e-08,6.090576766882717e-07,salt_iodized_rock
0.9,const,1.9145782751762168e-07,2.049694578436763e-08,8.37941989443207e-18,1.5107296868266248e-07,2.3184268635258087e-07,salt_iodized_rock
0.9,brent_ret_lag0,1.357955058449544e-06,6.030501245152233e-07,0.025274536209924755,1.6977344323905023e-07,2.546136673660038e-06,salt_iodized_rock
0.9,brent_ret_lag1,-1.2956407137069476e-06,6.637244055102791e-07,0.05213745255140431,-2.6033680553235075e-06,1.2086627909612315e-08,salt_iodized_rock
0.9,brent_ret_lag2,-1.0515459017237079e-06,7.088849851475201e-07,0.13933652301637076,-2.448252530924951e-06,3.451607274775352e-07,salt_iodized_rock
0.9,brent_ret_lag3,2.1341003470949155e-07,3.870372418954676e-07,0.5818965319599402,-5.491642796423206e-07,9.759843490613037e-07,salt_iodized_rock
0.9,brent_ret_lag4,8.665122880197959e-07,4.6267557331148694e-07,0.06235511032313473,-4.509122165132474e-08,1.7781157976909165e-06,salt_iodized_rock
0.1,const,-2.492283880944977e-07,2.5099153582528593e-08,1.4031999555309543e-19,-2.986809155574155e-07,-1.9977586063157987e-07,soy_sauce
0.1,brent_ret_lag0,-2.1724918468183027e-06,8.165443760767646e-07,0.008347229167917128,-3.781318337713826e-06,-5.636653559227793e-07,soy_sauce
0.1,brent_ret_lag1,1.8274531861757244e-07,4.808894064307141e-07,0.7042832409962945,-7.64744663462744e-07,1.130235300697889e-06,soy_sauce
0.1,brent_ret_lag2,1.4844951102375633e-06,7.805566513118378e-07,0.058436000571962673,-5.342524665572429e-08,3.022415467130851e-06,soy_sauce
